Event Name,Participant Name,Offer Name,Event Date,Sportsbook,League,Line,Side,Odds at Placement,Current Odds,CLV,OS Rating
Tampa Bay Buccaneers @ Miami Dolphins,Greg Dulcich,Total Receiving Yards,12/28/2025 1:00 PM EST,NoVig,NFL,17.5,Over,114,100,3.3%,20
Arizona Cardinals @ Cincinnati Bengals,Trey McBride,Total Receiving Yards,12/28/2025 1:00 PM EST,NoVig,NFL,80.5,Over,106,-116,5.2%,8
Arizona Cardinals @ Cincinnati Bengals,Tee Higgins,Total Receiving Yards,12/28/2025 1:00 PM EST,NoVig,NFL,59.5,Over,114,101,3.0%,12
Philadelphia 76ers @ Oklahoma City Thunder,Tyrese Maxey,Rebounds,12/28/2025 3:30 PM EST,BetRivers,NBA,3.5,Under,102,-124,5.9%,16
Detroit Pistons @ Los Angeles Clippers,James Harden,Points,12/28/2025 9:00 PM EST,NoVig,NBA,24.5,Under,116,117,-0.2%,8
Detroit Pistons @ Los Angeles Clippers,Kris Dunn,Assists,12/28/2025 9:00 PM EST,BetRivers,NBA,3.5,Under,-115,-118,0.6%,3
Boston Celtics @ Portland Trail Blazers,Jordan Walsh,Rebounds,12/28/2025 6:00 PM EST,NoVig,NBA,4.5,Under,-102,118,-4.6%,6
Boston Celtics @ Portland Trail Blazers,Luka Garza,Rebounds,12/28/2025 6:00 PM EST,NoVig,NBA,4.5,Under,130,126,0.8%,19
Golden State Warriors @ Toronto Raptors,RJ Barrett,Rebounds,12/28/2025 3:30 PM EST,NoVig,NBA,4.5,Under,-122,-138,3.0%,13
Detroit Pistons @ Los Angeles Clippers,Jalen Duren,Points,12/28/2025 9:00 PM EST,BetRivers,NBA,17.5,Under,-110,-137,5.4%,2
Detroit Pistons @ Los Angeles Clippers,Jalen Duren,Rebounds,12/28/2025 9:00 PM EST,BetRivers,NBA,10.5,Under,-103,-103,0%,19
Detroit Pistons @ Los Angeles Clippers,Ausar Thompson,Rebounds,12/28/2025 9:00 PM EST,BetRivers,NBA,5.5,Under,100,100,0%,8
Sacramento Kings @ Los Angeles Lakers,Russell Westbrook,3-Pointers,12/28/2025 9:30 PM EST,BetRivers,NBA,1.5,Under,148,148,0%,11
Sacramento Kings @ Los Angeles Lakers,Russell Westbrook,Rebounds + Assists,12/28/2025 9:30 PM EST,BetMGM,NBA,13.5,Under,120,120,0%,8
Detroit Pistons @ Los Angeles Clippers,James Harden,Assists,12/28/2025 9:00 PM EST,Circa,NBA,7.5,Under,-115,-115,0%,5
Detroit Pistons @ Los Angeles Clippers,Kris Dunn,3-Pointers,12/28/2025 9:00 PM EST,BetMGM,NBA,1.5,Over,190,190,0%,4
Sacramento Kings @ Los Angeles Lakers,Jarred Vanderbilt,Rebounds,12/28/2025 9:30 PM EST,HardRockNJ,NBA,5.5,Under,-115,-115,0%,16
Detroit Pistons @ Los Angeles Clippers,Cade Cunningham,Points + Rebounds + Assists,12/28/2025 9:00 PM EST,HardRockNJ,NBA,42.5,Under,100,100,0%,15
Detroit Pistons @ Los Angeles Clippers,James Harden,Rebounds + Assists,12/28/2025 9:00 PM EST,HardRockNJ,NBA,12.5,Over,105,105,0%,9
Detroit Pistons @ Los Angeles Clippers,Cade Cunningham,Rebounds + Assists,12/28/2025 9:00 PM EST,HardRockNJ,NBA,15.5,Under,-105,-105,0%,8
