league_norm,market_norm,sportsbook,roi_shrunk,clv_shrunk,bets,avg_os_rating,portfolio
NHL,Total Shots on Goal,Bally Bet,0.13465400285673626,0.025794422557148537,121.0,10.5,Core
NCAAM,Points,BetMGM,0.09497883266886684,0.04375477671198447,53.0,10.5,Core
NHL,Total Shots on Goal,Bally Bet,0.13465400285673626,0.025794422557148537,121.0,10.5,Expansion
NCAAM,Points,BetMGM,0.09497883266886684,0.04375477671198447,53.0,10.5,Expansion
NBA,Points,BetRivers - Indiana,0.05881017641390466,0.03613907515849707,51.0,2.0,Expansion
NBA,Rebounds,Hard Rock Sportsbook,0.02549227104691208,0.04333172797841861,248.0,16.0,Expansion
NHL,Total Saves,ProphetX,0.30390592334494776,0.02373308090195925,10.0,10.5,Experimental
NBA,Points,Draftkings Sportsbook,0.18568621947796798,0.05119794585628698,10.0,5.0,Experimental
NFL,Total Rushing Yards,BetMGM,0.1594114149821641,0.009404388714733534,4.0,10.5,Experimental
NBA,Total,BetMGM,0.15458033124356696,0.011104303978873901,7.0,10.5,Experimental
NBA,Rebounds,Novig,0.13277296794972357,0.03121511758480113,42.0,12.666666666666664,Experimental
NBA,Rebounds,Draftkings Sportsbook,0.1324353741496599,0.02167397387168037,10.0,13.857142857142858,Experimental
NBA,Assists,Novig,0.13018722582400497,0.011879042088511694,10.0,4.0,Experimental
NBA,Rebounds + Assists,Fanatics,0.11137519872813989,0.022107576985964918,12.0,8.333333333333332,Experimental
NBA,Total,Novig,0.11088441788636083,0.009271245640430923,7.0,10.5,Experimental
NHL,Total Shots on Goal,ProphetX,0.09817311898512687,0.02381762259395141,11.0,10.5,Experimental
NFL,Total Receiving Yards,Novig,0.08095689952516469,0.011423636812237844,3.0,13.333333333333334,Experimental
NFL,Total Rushing Yards,Novig,0.08005261824368258,0.013599493614171232,6.0,10.5,Experimental
NBA,Assists,Hard Rock Sportsbook,0.07037037037037037,0.004126142057176548,2.0,4.0,Experimental
NFL,Total,Draftkings Sportsbook,0.06948214285714287,0.004449332658171391,3.0,10.5,Experimental
NBA,Point Spread,Novig,0.05079956827140245,0.0028490028490028444,1.0,10.5,Experimental
NFL,Total Receptions,BetMGM,0.045384615384615384,0.0035729298024379944,1.0,10.5,Experimental
NHL,Total Saves,Novig,0.038905291587883375,0.03393648571370314,12.0,10.5,Experimental
NCAAM,Rebounds,theScore Bet,0.03827160493827161,0.00591071405551044,2.0,10.5,Experimental
NBA,Assists,Fanduel Sportsbook,0.03648809523809524,0.005355661807337613,3.0,4.0,Experimental
NBA,Assists,Bally Bet,0.03627267041901188,0.014457174031642116,1.0,4.0,Experimental
NCAAM,Point Spread,Fanatics,0.03526923076923077,0.0028089887640449377,1.0,10.5,Experimental
NBA,Total,Fanduel Sportsbook,0.0336740164471041,0.022439945784423387,44.0,10.5,Experimental
NBA,Point Spread,ProphetX,0.029423076923076927,0.0015297202797202804,1.0,10.5,Experimental
NCAAFB,Total,Draftkings Sportsbook,0.025754985754985752,0.007969195822598966,2.0,10.5,Experimental
NBA,Total Assists,BetMGM,0.022736860544043908,0.02440748384511694,12.0,10.5,Experimental
NBA,Rebounds + Assists,Caesars Sportsbook,0.018897058823529413,0.01147999148363266,9.0,8.333333333333334,Experimental
NHL,Total Saves,BetMGM,0.007692307692307691,0.003826016915022157,1.0,10.5,Experimental
NHL,Assists,Novig,0.004466468700863262,0.0070664520079805615,3.0,10.5,Experimental
NHL,Total Shots on Goal,Fanduel Sportsbook,0.0,0.0014652014652014685,1.0,10.5,Experimental
